"date","geography","geography code","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","N00000757 (Dromore South ward)","N00000757",299,29,45,56,18,49,90,12,13,12,3,1,8
"2011","N00000758 (Edenderry ward)","N00000758",321,117,59,53,13,40,27,12,7,14,4,0,10
"2011","N00000759 (Edenderry ward)","N00000759",224,43,24,39,9,35,62,12,13,16,7,3,6
"2011","N00000760 (Edenderry ward)","N00000760",219,109,24,32,10,16,21,7,3,6,2,1,3
"2011","N00000761 (Edenderry ward)","N00000761",342,108,60,59,9,32,48,26,14,13,2,1,10
"2011","N00000762 (Edenderry ward)","N00000762",190,92,23,20,11,14,15,15,4,0,0,0,0
"2011","N00000763 (Edenderry ward)","N00000763",312,99,58,63,12,28,41,11,7,12,3,2,7
"2011","N00000764 (Edenderry ward)","N00000764",198,52,23,23,18,20,46,16,4,6,3,1,2
"2011","N00000765 (Edenderry ward)","N00000765",285,113,39,44,7,29,38,15,9,13,3,0,10
"2011","N00000766 (Fort ward)","N00000766",679,320,78,76,24,49,100,32,18,18,6,1,11
"2011","N00000767 (Fort ward)","N00000767",248,65,40,35,8,44,50,6,11,21,9,2,10
"2011","N00000768 (Fort ward)","N00000768",227,70,30,38,11,24,39,15,6,11,7,0,4
"2011","N00000769 (Fort ward)","N00000769",318,46,46,70,12,41,95,8,12,26,10,0,16
"2011","N00000770 (Fort ward)","N00000770",271,39,30,58,7,43,86,8,18,13,3,0,10
"2011","N00000771 (Fort ward)","N00000771",198,94,27,16,6,23,18,14,0,3,3,0,0
"2011","N00000772 (Gilford ward)","N00000772",342,90,56,51,22,34,73,16,11,14,6,0,8
"2011","N00000773 (Gilford ward)","N00000773",309,83,44,55,11,33,75,8,16,13,3,2,8
"2011","N00000774 (Gilford ward)","N00000774",806,278,97,147,26,79,138,41,23,35,14,0,21
"2011","N00000775 (Gilford ward)","N00000775",237,84,31,29,16,26,40,11,6,6,3,2,1
"2011","N00000776 (Gilford ward)","N00000776",241,129,36,24,6,13,20,13,10,5,2,0,3
"2011","N00000777 (Gransha ward)","N00000777",692,199,78,113,34,81,170,17,18,28,14,4,10
"2011","N00000778 (Gransha ward)","N00000778",329,82,35,56,15,42,87,12,15,14,5,0,9
"2011","N00000779 (Gransha ward)","N00000779",437,98,55,70,36,53,105,20,10,14,4,1,9
"2011","N00000780 (Gransha ward)","N00000780",403,67,55,67,19,56,127,12,18,15,5,2,8
"2011","N00000781 (Gransha ward)","N00000781",382,43,42,69,15,72,129,12,13,15,7,0,8
"2011","N00000782 (Gransha ward)","N00000782",382,99,41,66,16,48,102,10,20,15,5,3,7
"2011","N00000783 (Katesbridge ward)","N00000783",443,148,48,69,28,51,86,13,18,16,8,0,8
"2011","N00000784 (Katesbridge ward)","N00000784",331,96,29,43,13,46,88,16,9,9,3,0,6
"2011","N00000785 (Katesbridge ward)","N00000785",286,94,23,40,10,41,68,10,14,9,5,0,4
"2011","N00000786 (Katesbridge ward)","N00000786",291,84,43,49,9,30,68,8,10,11,4,0,7
"2011","N00000787 (Katesbridge ward)","N00000787",329,85,33,60,15,46,77,13,7,16,6,1,9
"2011","N00000788 (Katesbridge ward)","N00000788",334,88,40,46,30,39,79,12,11,14,2,2,10
"2011","N00000789 (Lawrencetown ward)","N00000789",790,252,99,108,33,94,187,17,32,32,16,5,11
"2011","N00000790 (Lawrencetown ward)","N00000790",431,121,42,57,25,57,112,17,16,13,6,1,6
"2011","N00000791 (Lawrencetown ward)","N00000791",302,123,25,38,10,29,70,7,11,12,5,2,5
"2011","N00000792 (Lawrencetown ward)","N00000792",297,80,26,48,10,40,88,5,15,15,5,1,9
"2011","N00000793 (Lawrencetown ward)","N00000793",364,95,48,47,25,43,92,14,18,13,7,0,6
"2011","N00000794 (Loughbrickland ward)","N00000794",351,100,35,52,19,37,92,16,10,16,8,1,7
"2011","N00000795 (Loughbrickland ward)","N00000795",385,79,54,66,24,42,107,13,13,16,7,1,8
"2011","N00000796 (Loughbrickland ward)","N00000796",269,88,35,42,13,29,55,7,12,11,3,1,7
"2011","N00000797 (Loughbrickland ward)","N00000797",295,93,31,42,14,31,74,10,4,6,4,0,2
"2011","N00000798 (Loughbrickland ward)","N00000798",412,115,53,59,19,38,116,12,23,14,5,1,8
"2011","N00000799 (Loughbrickland ward)","N00000799",375,108,52,65,11,47,84,8,15,16,8,3,5
"2011","N00000800 (Quilly ward)","N00000800",328,73,27,65,17,33,105,8,13,8,5,0,3
"2011","N00000801 (Quilly ward)","N00000801",396,84,36,58,16,45,144,13,18,18,11,2,5
"2011","N00000802 (Quilly ward)","N00000802",226,62,24,31,10,24,65,10,6,9,5,0,4
"2011","N00000803 (Quilly ward)","N00000803",315,85,40,45,14,30,91,10,8,10,5,0,5
"2011","N00000804 (Quilly ward)","N00000804",342,73,27,51,13,45,122,11,6,12,4,1,7
"2011","N00000805 (Quilly ward)","N00000805",310,97,28,41,11,21,98,14,7,7,3,0,4
"2011","N00000806 (Rathfriland ward)","N00000806",272,92,36,45,13,40,38,8,12,9,6,1,2
"2011","N00000807 (Rathfriland ward)","N00000807",383,75,57,75,23,56,66,31,22,20,7,1,12
"2011","N00000808 (Rathfriland ward)","N00000808",210,104,21,22,8,14,25,16,2,6,3,0,3
"2011","N00000809 (Rathfriland ward)","N00000809",451,195,41,55,17,56,70,17,9,11,1,1,9
"2011","N00000810 (Rathfriland ward)","N00000810",326,94,38,54,27,39,65,9,12,10,2,1,7
"2011","N00000811 (Rathfriland ward)","N00000811",272,124,31,39,9,26,29,14,10,10,2,0,8
"2011","N00000812 (Rathfriland ward)","N00000812",230,99,28,38,4,29,22,10,4,7,2,2,3
"2011","N00000813 (Seapatrick ward)","N00000813",370,80,50,65,16,49,94,16,13,11,5,1,5
"2011","N00000814 (Seapatrick ward)","N00000814",218,67,18,31,4,27,64,7,6,7,4,0,3
"2011","N00000815 (Seapatrick ward)","N00000815",375,57,42,80,15,45,129,7,19,23,8,4,11
"2011","N00000816 (Seapatrick ward)","N00000816",462,163,51,50,20,60,106,12,13,9,4,0,5
"2011","N00000817 (Seapatrick ward)","N00000817",223,34,21,39,3,33,83,10,6,10,5,0,5
"2011","N00000818 (Seapatrick ward)","N00000818",262,81,35,38,15,28,54,11,5,8,3,0,5
"2011","N00000819 (The Cut ward)","N00000819",215,91,34,31,8,16,24,11,6,9,2,0,7
"2011","N00000820 (The Cut ward)","N00000820",298,103,37,47,11,41,49,10,4,11,4,0,7
"2011","N00000821 (The Cut ward)","N00000821",228,103,35,30,7,25,19,9,6,7,5,1,1
"2011","N00000822 (The Cut ward)","N00000822",179,80,10,24,6,9,40,10,2,2,0,0,2
"2011","N00000823 (The Cut ward)","N00000823",295,95,41,41,7,33,68,10,9,9,4,0,5
"2011","N00000824 (The Cut ward)","N00000824",219,86,28,24,12,25,33,11,2,8,3,0,5
"2011","N00002170 (Aghagallon ward)","N00002170",259,108,39,42,10,22,29,9,7,20,5,2,13
"2011","N00002171 (Aghagallon ward)","N00002171",408,79,37,56,21,72,124,19,17,24,11,0,13
"2011","N00002172 (Aghagallon ward)","N00002172",443,99,46,75,24,72,110,17,20,18,9,0,9
"2011","N00002173 (Aghagallon ward)","N00002173",377,94,24,60,10,60,122,7,22,21,8,2,11
"2011","N00002174 (Aghagallon ward)","N00002174",400,127,44,61,22,39,91,16,14,25,12,4,9
"2011","N00002175 (Aghagallon ward)","N00002175",541,111,58,81,31,73,176,11,16,28,18,2,8
"2011","N00002176 (Aghagallon ward)","N00002176",430,102,46,70,20,62,107,23,17,28,12,3,13
"2011","N00002177 (Aghagallon ward)","N00002177",451,98,43,73,19,66,142,10,18,29,12,1,16
"2011","N00002178 (Aghagallon ward)","N00002178",380,103,50,58,15,55,85,14,10,28,11,2,15
"2011","N00002179 (Annagh ward)","N00002179",271,63,33,60,7,34,48,26,11,10,4,1,5
"2011","N00002180 (Annagh ward)","N00002180",176,67,18,25,5,22,25,14,1,7,3,0,4
"2011","N00002181 (Annagh ward)","N00002181",487,80,53,85,10,82,151,26,20,22,12,2,8
"2011","N00002182 (Annagh ward)","N00002182",310,91,31,46,13,33,84,12,6,9,1,0,8
"2011","N00002183 (Annagh ward)","N00002183",253,92,30,19,4,16,46,46,2,7,6,0,1
"2011","N00002184 (Annagh ward)","N00002184",194,84,21,19,6,19,20,25,3,3,1,0,2
"2011","N00002185 (Annagh ward)","N00002185",354,129,39,35,8,32,50,61,8,6,3,2,1
"2011","N00002186 (Annagh ward)","N00002186",180,63,20,27,2,8,26,34,2,2,0,1,1
"2011","N00002187 (Annagh ward)","N00002187",224,65,19,29,6,20,42,43,4,4,0,1,3
"2011","N00002188 (Ballybay ward)","N00002188",155,80,14,19,5,15,13,9,2,2,0,0,2
"2011","N00002189 (Ballybay ward)","N00002189",187,92,21,21,8,12,16,17,6,10,1,1,8
"2011","N00002190 (Ballybay ward)","N00002190",373,116,60,67,10,33,60,27,9,14,4,2,8
"2011","N00002191 (Ballybay ward)","N00002191",169,72,26,20,3,10,11,27,6,7,0,3,4
"2011","N00002192 (Ballybay ward)","N00002192",382,100,46,61,15,51,92,17,11,18,7,2,9
"2011","N00002193 (Ballybay ward)","N00002193",194,89,41,15,8,17,10,14,9,6,1,1,4
"2011","N00002194 (Ballybay ward)","N00002194",185,90,25,22,5,12,23,8,3,8,5,0,3
"2011","N00002195 (Ballybay ward)","N00002195",239,85,34,33,7,22,41,17,8,6,2,2,2
"2011","N00002196 (Ballyoran ward)","N00002196",452,105,50,72,13,73,114,25,22,27,7,1,19
"2011","N00002197 (Ballyoran ward)","N00002197",468,94,71,102,27,56,90,28,20,23,12,1,10
"2011","N00002198 (Ballyoran ward)","N00002198",235,118,20,33,9,24,19,12,4,9,3,1,5
"2011","N00002199 (Ballyoran ward)","N00002199",259,100,55,36,11,15,22,20,9,12,4,2,6
"2011","N00002200 (Ballyoran ward)","N00002200",326,135,40,50,6,22,47,26,9,18,4,1,13
"2011","N00002201 (Ballyoran ward)","N00002201",202,112,29,23,5,9,16,8,6,9,0,1,8
"2011","N00002202 (Ballyoran ward)","N00002202",393,128,44,39,19,27,78,58,11,19,6,4,9
"2011","N00002203 (Bleary ward)","N00002203",935,179,102,158,33,122,304,37,34,50,20,1,29
"2011","N00002204 (Bleary ward)","N00002204",344,76,41,49,11,42,109,16,11,17,5,0,12
"2011","N00002205 (Bleary ward)","N00002205",541,85,50,93,23,71,203,16,26,29,12,4,13
"2011","N00002206 (Bleary ward)","N00002206",257,62,28,36,13,41,66,11,4,12,7,0,5
"2011","N00002207 (Bleary ward)","N00002207",243,75,35,40,12,21,45,15,10,8,2,0,6
"2011","N00002208 (Bleary ward)","N00002208",264,100,34,23,14,33,43,17,9,20,9,0,11
"2011","N00002209 (Bleary ward)","N00002209",275,71,36,50,14,46,51,7,14,20,8,1,11
"2011","N00002210 (Bleary ward)","N00002210",323,77,22,66,15,42,89,12,15,19,10,0,9
"2011","N00002211 (Brownstown ward)","N00002211",210,94,16,40,7,18,22,13,5,2,0,1,1
"2011","N00002212 (Brownstown ward)","N00002212",197,61,35,34,5,22,26,14,6,4,1,0,3
"2011","N00002213 (Brownstown ward)","N00002213",585,139,83,100,24,78,113,48,29,29,10,3,16
"2011","N00002214 (Brownstown ward)","N00002214",294,86,46,57,5,31,58,11,18,19,12,0,7
"2011","N00002215 (Brownstown ward)","N00002215",234,81,37,32,11,22,34,17,5,5,3,0,2
"2011","N00002216 (Brownstown ward)","N00002216",230,103,27,29,7,13,34,17,5,6,1,0,5
"2011","N00002217 (Brownstown ward)","N00002217",208,84,22,22,14,22,35,9,5,6,1,0,5
"2011","N00002218 (Brownstown ward)","N00002218",194,77,30,22,5,25,25,10,2,7,1,4,2
"2011","N00002219 (Brownstown ward)","N00002219",194,85,28,27,8,15,22,9,5,5,3,1,1
"2011","N00002220 (Brownstown ward)","N00002220",388,125,52,56,11,35,78,31,13,11,2,1,8
"2011","N00002221 (Church ward)","N00002221",367,180,46,63,11,20,29,18,11,9,4,2,3
"2011","N00002222 (Church ward)","N00002222",224,97,33,27,6,21,11,29,6,2,1,1,0
"2011","N00002223 (Church ward)","N00002223",109,45,12,14,2,11,14,11,2,1,0,1,0
"2011","N00002224 (Church ward)","N00002224",158,48,15,26,1,18,19,31,9,3,1,1,1
"2011","N00002225 (Church ward)","N00002225",284,144,28,33,9,23,26,21,7,8,3,0,5
"2011","N00002226 (Church ward)","N00002226",176,87,19,29,8,12,10,11,5,6,1,1,4
"2011","N00002227 (Church ward)","N00002227",206,103,18,36,10,19,15,5,5,6,2,1,3
"2011","N00002228 (Church ward)","N00002228",203,95,25,31,7,15,22,8,6,5,0,0,5
"2011","N00002229 (Corcrain ward)","N00002229",753,215,117,119,29,88,103,82,36,40,20,2,18
"2011","N00002230 (Corcrain ward)","N00002230",223,100,27,33,4,16,15,28,7,9,4,1,4
"2011","N00002231 (Corcrain ward)","N00002231",243,127,34,27,2,13,24,16,12,10,1,1,8
"2011","N00002232 (Corcrain ward)","N00002232",613,220,71,70,26,59,86,81,9,25,6,3,16
"2011","N00002233 (Corcrain ward)","N00002233",268,105,47,37,4,16,23,36,9,15,7,4,4
"2011","N00002234 (Corcrain ward)","N00002234",204,82,22,26,6,19,19,30,6,5,3,1,1
"2011","N00002235 (Corcrain ward)","N00002235",249,130,29,30,4,20,21,15,11,14,5,1,8
"2011","N00002236 (Court ward)","N00002236",528,296,66,59,14,28,40,25,10,21,4,5,12
"2011","N00002237 (Court ward)","N00002237",251,83,49,43,7,26,20,23,18,15,5,4,6
"2011","N00002238 (Court ward)","N00002238",195,73,19,40,7,23,18,15,10,15,7,0,8
"2011","N00002239 (Court ward)","N00002239",204,108,24,24,7,12,14,15,3,4,1,0,3
"2011","N00002240 (Court ward)","N00002240",239,87,33,37,6,33,32,11,9,17,7,0,10
"2011","N00002241 (Court ward)","N00002241",264,137,26,31,5,20,23,22,2,7,4,0,3
"2011","N00002242 (Court ward)","N00002242",237,112,16,31,10,29,21,18,6,19,9,0,10
"2011","N00002243 (Court ward)","N00002243",188,95,25,18,4,10,18,18,5,7,5,0,2
"2011","N00002244 (Court ward)","N00002244",242,100,22,34,12,23,47,4,5,15,4,0,11
"2011","N00002245 (Court ward)","N00002245",209,152,9,13,4,9,21,1,0,1,0,0,1
"2011","N00002246 (Derrytrasna ward)","N00002246",360,109,34,59,15,46,90,7,12,28,15,1,12
"2011","N00002247 (Derrytrasna ward)","N00002247",353,77,58,71,13,46,77,11,24,30,11,5,14
"2011","N00002248 (Derrytrasna ward)","N00002248",569,140,55,92,25,74,156,27,17,41,22,2,17
"2011","N00002249 (Derrytrasna ward)","N00002249",452,86,45,80,11,65,152,13,31,41,15,5,21
"2011","N00002250 (Derrytrasna ward)","N00002250",262,84,26,48,12,38,51,3,15,9,4,0,5
"2011","N00002251 (Derrytrasna ward)","N00002251",310,98,43,63,9,34,51,12,10,21,15,0,6
"2011","N00002252 (Derrytrasna ward)","N00002252",678,200,68,129,35,72,149,25,33,46,24,1,21
"2011","N00002253 (Derrytrasna ward)","N00002253",318,98,39,43,11,29,89,9,13,17,6,2,9
"2011","N00002254 (Derrytrasna ward)","N00002254",446,98,50,65,20,60,114,39,16,32,15,1,16
"2011","N00002255 (Derrytrasna ward)","N00002255",393,106,38,67,9,56,107,10,14,21,6,2,13
"2011","N00002256 (Donaghcloney ward)","N00002256",404,106,38,71,19,36,124,10,18,18,7,0,11
"2011","N00002257 (Donaghcloney ward)","N00002257",267,79,31,52,8,34,53,10,6,14,3,2,9
"2011","N00002258 (Donaghcloney ward)","N00002258",281,62,28,53,19,40,66,13,9,20,8,2,10
"2011","N00002259 (Donaghcloney ward)","N00002259",274,96,29,51,10,22,59,7,6,10,3,2,5
"2011","N00002260 (Donaghcloney ward)","N00002260",579,92,72,105,26,88,183,13,19,22,8,0,14
"2011","N00002261 (Donaghcloney ward)","N00002261",517,113,59,83,22,73,146,21,21,21,9,0,12
"2011","N00002262 (Donaghcloney ward)","N00002262",360,75,24,73,16,46,116,10,13,30,18,2,10
"2011","N00002263 (Donaghcloney ward)","N00002263",366,87,41,64,12,43,103,16,15,15,6,0,9
"2011","N00002264 (Drumgask ward)","N00002264",521,138,95,101,17,67,78,25,17,24,9,3,12
"2011","N00002265 (Drumgask ward)","N00002265",429,119,71,86,9,40,79,25,20,18,8,2,8
"2011","N00002266 (Drumgask ward)","N00002266",222,115,18,29,3,24,21,12,7,10,1,1,8
"2011","N00002267 (Drumgask ward)","N00002267",348,113,58,61,10,33,51,22,15,12,5,2,5
"2011","N00002268 (Drumgask ward)","N00002268",560,135,95,105,20,79,99,27,24,38,19,4,15
"2011","N00002269 (Drumgask ward)","N00002269",234,117,28,23,6,26,17,17,6,12,4,0,8
"2011","N00002270 (Drumgask ward)","N00002270",250,112,34,41,9,25,16,13,11,14,4,2,8
"2011","N00002271 (Drumgask ward)","N00002271",231,107,42,34,3,21,15,9,11,15,1,4,10
"2011","N00002272 (Drumgask ward)","N00002272",200,93,25,36,3,14,20,9,8,12,4,1,7
"2011","N00002273 (Drumgor ward)","N00002273",437,75,54,71,12,49,120,56,12,23,9,3,11
"2011","N00002274 (Drumgor ward)","N00002274",183,76,33,29,5,8,14,18,8,10,1,2,7
"2011","N00002275 (Drumgor ward)","N00002275",195,78,37,27,7,8,28,10,8,11,1,2,8
"2011","N00002276 (Drumgor ward)","N00002276",251,79,30,31,6,22,57,26,4,15,3,1,11
"2011","N00002277 (Drumgor ward)","N00002277",371,135,56,56,14,36,52,22,14,13,1,4,8
"2011","N00002278 (Drumgor ward)","N00002278",258,104,39,36,12,18,26,23,12,17,9,0,8
"2011","N00002279 (Drumgor ward)","N00002279",171,82,22,24,9,15,11,8,4,4,1,0,3
"2011","N00002280 (Drumgor ward)","N00002280",230,82,34,37,7,18,38,14,7,12,7,0,5
"2011","N00002281 (Drumnamoe ward)","N00002281",304,137,46,53,16,27,23,2,13,23,7,6,10
"2011","N00002282 (Drumnamoe ward)","N00002282",226,111,29,28,9,24,18,7,8,12,4,1,7
"2011","N00002283 (Drumnamoe ward)","N00002283",240,133,24,32,8,16,17,10,7,11,5,1,5
"2011","N00002284 (Drumnamoe ward)","N00002284",247,140,33,25,6,20,19,4,3,14,7,0,7
"2011","N00002285 (Drumnamoe ward)","N00002285",325,74,39,64,15,49,70,14,16,35,18,3,14
"2011","N00002286 (Drumnamoe ward)","N00002286",305,103,31,57,13,34,61,6,11,15,8,0,7
"2011","N00002287 (Drumnamoe ward)","N00002287",265,117,26,37,14,25,42,4,9,15,3,2,10
"2011","N00002288 (Drumnamoe ward)","N00002288",228,134,26,24,4,15,17,8,6,14,4,1,9
"2011","N00002289 (Edenderry ward)","N00002289",198,91,19,23,9,18,23,15,8,8,2,1,5
"2011","N00002290 (Edenderry ward)","N00002290",408,135,38,50,15,39,106,25,7,21,10,0,11
"2011","N00002291 (Edenderry ward)","N00002291",366,103,40,57,16,41,89,20,6,18,3,2,13
"2011","N00002292 (Edenderry ward)","N00002292",229,49,16,28,6,19,101,10,10,10,2,1,7
"2011","N00002293 (Edenderry ward)","N00002293",197,106,17,13,9,17,15,20,3,7,3,0,4
"2011","N00002294 (Edenderry ward)","N00002294",245,61,26,52,12,31,51,12,5,8,4,0,4
"2011","N00002295 (Edenderry ward)","N00002295",273,54,40,43,13,42,62,19,8,11,6,1,4
"2011","N00002296 (Edenderry ward)","N00002296",336,116,41,54,11,30,57,27,5,13,5,1,7
"2011","N00002297 (Edenderry ward)","N00002297",279,69,24,47,9,43,75,12,10,17,8,0,9
"2011","N00002298 (Kernan ward)","N00002298",235,87,25,27,8,22,54,12,7,6,2,1,3
"2011","N00002299 (Kernan ward)","N00002299",287,56,26,41,11,39,98,16,8,9,4,0,5
"2011","N00002300 (Kernan ward)","N00002300",632,86,61,98,12,71,275,29,22,21,6,0,15
"2011","N00002301 (Kernan ward)","N00002301",507,105,56,92,14,54,149,37,19,16,8,2,6
"2011","N00002302 (Kernan ward)","N00002302",497,74,40,88,13,58,213,11,24,31,12,1,18
"2011","N00002303 (Kernan ward)","N00002303",337,73,39,53,9,38,84,41,13,18,7,3,8
"2011","N00002304 (Kernan ward)","N00002304",165,75,28,18,2,6,17,19,2,8,1,0,7
"2011","N00002305 (Kernan ward)","N00002305",619,92,58,116,25,89,196,43,22,24,10,1,13
"2011","N00002306 (Kernan ward)","N00002306",1117,261,135,159,21,132,260,149,34,47,15,7,25
"2011","N00002307 (Kernan ward)","N00002307",313,82,27,59,14,40,71,20,16,17,10,0,7
"2011","N00002308 (Killycomain ward)","N00002308",275,50,28,59,17,34,76,11,16,15,9,0,6
"2011","N00002309 (Killycomain ward)","N00002309",177,69,20,22,9,20,19,18,2,4,3,0,1
"2011","N00002310 (Killycomain ward)","N00002310",180,82,13,26,7,15,18,19,4,8,2,0,6
"2011","N00002311 (Killycomain ward)","N00002311",228,71,21,31,10,36,43,16,4,5,4,0,1
"2011","N00002312 (Killycomain ward)","N00002312",241,120,27,31,7,11,32,13,4,6,0,1,5
"2011","N00002313 (Killycomain ward)","N00002313",266,54,27,37,7,30,97,14,7,6,4,1,1
"2011","N00002314 (Killycomain ward)","N00002314",241,56,27,38,8,24,72,16,5,12,5,0,7
"2011","N00002315 (Killycomain ward)","N00002315",283,67,24,52,11,34,83,12,14,12,7,0,5
"2011","N00002316 (Killycomain ward)","N00002316",215,84,26,22,12,17,45,9,6,4,3,0,1
"2011","N00002317 (Knocknashane ward)","N00002317",248,74,29,32,17,33,49,14,6,12,6,0,6
"2011","N00002318 (Knocknashane ward)","N00002318",325,112,21,38,14,45,82,13,6,8,2,1,5
"2011","N00002319 (Knocknashane ward)","N00002319",522,91,39,92,23,61,191,25,15,21,11,2,8
"2011","N00002320 (Knocknashane ward)","N00002320",246,81,29,40,16,34,34,12,6,9,5,0,4
"2011","N00002321 (Knocknashane ward)","N00002321",233,64,28,45,17,22,46,11,6,9,3,0,6
"2011","N00002322 (Knocknashane ward)","N00002322",266,69,31,47,8,39,62,10,9,12,2,0,10
"2011","N00002323 (Knocknashane ward)","N00002323",269,68,31,58,13,34,56,9,8,7,2,0,5
"2011","N00002324 (Knocknashane ward)","N00002324",229,70,23,31,16,37,39,13,7,14,5,0,9
"2011","N00002325 (Knocknashane ward)","N00002325",378,66,46,66,24,52,110,14,11,22,7,1,14
"2011","N00002326 (Magheralin ward)","N00002326",245,98,19,36,11,27,44,10,6,11,3,1,7
"2011","N00002327 (Magheralin ward)","N00002327",989,189,106,178,39,133,303,41,41,45,20,2,23
"2011","N00002328 (Magheralin ward)","N00002328",291,37,45,61,10,39,91,8,17,11,3,1,7
"2011","N00002329 (Magheralin ward)","N00002329",242,90,26,31,12,30,45,8,6,6,1,1,4
"2011","N00002330 (Magheralin ward)","N00002330",462,103,55,71,20,55,151,7,12,20,11,0,9
"2011","N00002331 (Magheralin ward)","N00002331",452,87,58,82,18,66,120,21,24,35,19,2,14
"2011","N00002332 (Magheralin ward)","N00002332",286,89,28,44,12,34,74,5,9,11,2,1,8
"2011","N00002333 (Magheralin ward)","N00002333",306,70,39,51,13,29,93,11,13,10,6,0,4
"2011","N00002334 (Magheralin ward)","N00002334",276,83,39,38,7,26,62,21,9,12,4,0,8
"2011","N00002335 (Magheralin ward)","N00002335",426,94,40,58,11,53,160,10,15,18,4,1,13
"2011","N00002336 (Mourneview ward)","N00002336",259,92,39,43,22,24,29,10,10,16,9,3,4
"2011","N00002337 (Mourneview ward)","N00002337",288,114,52,46,14,25,22,15,14,26,8,1,17
"2011","N00002338 (Mourneview ward)","N00002338",207,96,31,34,9,14,19,4,6,5,5,0,0
"2011","N00002339 (Mourneview ward)","N00002339",241,72,28,43,13,39,29,17,8,9,5,2,2
"2011","N00002340 (Mourneview ward)","N00002340",244,112,31,35,14,20,22,10,8,7,5,0,2
"2011","N00002341 (Mourneview ward)","N00002341",184,91,28,25,8,15,10,7,4,3,1,0,2
"2011","N00002342 (Mourneview ward)","N00002342",231,98,37,26,15,23,25,7,4,10,6,0,4
"2011","N00002343 (Mourneview ward)","N00002343",243,57,37,48,20,24,42,15,12,10,6,0,4
"2011","N00002344 (Parklake ward)","N00002344",300,116,38,40,8,31,37,30,4,10,5,0,5
"2011","N00002345 (Parklake ward)","N00002345",248,106,15,25,15,19,40,28,3,5,0,3,2
"2011","N00002346 (Parklake ward)","N00002346",203,77,22,24,7,17,32,24,5,8,3,3,2
"2011","N00002347 (Parklake ward)","N00002347",535,155,58,97,22,50,115,38,15,17,7,1,9
"2011","N00002348 (Parklake ward)","N00002348",278,115,33,32,13,31,45,9,5,3,0,0,3
"2011","N00002349 (Parklake ward)","N00002349",200,61,25,38,10,21,39,6,5,6,2,0,4
"2011","N00002350 (Parklake ward)","N00002350",161,65,19,21,13,9,25,9,2,5,1,0,4
"2011","N00002351 (Parklake ward)","N00002351",881,158,111,151,15,132,282,32,32,46,26,6,14
"2011","N00002352 (Parklake ward)","N00002352",254,133,22,30,5,12,41,11,5,8,3,1,4
"2011","N00002353 (Taghnevan ward)","N00002353",1313,301,176,254,46,197,279,60,40,78,32,7,39
"2011","N00002354 (Taghnevan ward)","N00002354",294,74,42,56,11,30,60,21,9,7,6,0,1
"2011","N00002355 (Taghnevan ward)","N00002355",224,85,41,31,15,27,16,9,11,17,11,2,4
"2011","N00002356 (Taghnevan ward)","N00002356",320,82,37,54,14,60,57,16,17,17,12,2,3
"2011","N00002357 (Taghnevan ward)","N00002357",274,94,43,43,19,38,31,6,12,11,8,1,2
"2011","N00002358 (Taghnevan ward)","N00002358",190,94,26,22,2,24,9,13,10,8,5,1,2
"2011","N00002359 (Taghnevan ward)","N00002359",212,99,28,30,14,19,16,6,6,10,2,1,7
"2011","N00002360 (Tavanagh ward)","N00002360",200,83,20,29,5,21,29,13,3,1,0,0,1
"2011","N00002361 (Tavanagh ward)","N00002361",214,111,27,25,5,19,16,11,5,12,6,0,6
"2011","N00002362 (Tavanagh ward)","N00002362",195,98,34,16,2,23,11,11,7,6,3,0,3
"2011","N00002363 (Tavanagh ward)","N00002363",189,93,20,20,3,25,15,13,4,6,2,0,4
"2011","N00002364 (Tavanagh ward)","N00002364",179,75,28,25,10,14,12,15,3,1,0,0,1
"2011","N00002365 (Tavanagh ward)","N00002365",223,103,23,38,5,20,21,13,9,9,3,0,6
"2011","N00002366 (Tavanagh ward)","N00002366",214,109,24,26,5,16,13,21,5,6,3,0,3
"2011","N00002367 (Tavanagh ward)","N00002367",319,89,25,52,12,27,92,22,7,7,1,0,6
"2011","N00002368 (The Birches ward)","N00002368",327,82,24,58,15,47,89,12,15,19,6,1,12
"2011","N00002369 (The Birches ward)","N00002369",576,143,72,71,19,78,164,29,24,18,4,0,14
"2011","N00002370 (The Birches ward)","N00002370",305,87,26,47,14,43,79,9,7,17,5,0,12
"2011","N00002371 (The Birches ward)","N00002371",353,98,32,61,11,45,99,7,18,17,2,1,14
"2011","N00002372 (The Birches ward)","N00002372",448,115,53,68,17,58,123,14,10,17,6,0,11
