"date","geography","geography code","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 8. Process plant and machine operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value"
"2011","Stranraer West - 02","S01007482",183,14,11,16,18,23,27,23,11,40
"2011","Stranraer West - 03","S01007483",368,23,36,21,29,61,62,35,46,55
"2011","Stranraer West - 04","S01007484",228,25,24,23,13,44,30,15,23,31
"2011","Stranraer West - 05","S01007485",167,6,6,8,10,26,30,26,16,39
"2011","Stranraer West - 06","S01007486",142,5,4,3,13,15,20,24,21,37
"2011","Stranraer East - 01","S01007487",382,30,28,29,23,59,52,55,39,67
"2011","Stranraer East - 02","S01007488",488,33,55,49,63,70,63,49,43,63
"2011","Stranraer East - 03","S01007489",393,34,28,29,48,56,62,42,34,60
"2011","Stranraer South - 01","S01007490",360,24,22,22,33,47,48,39,54,71
"2011","Stranraer South - 02","S01007491",510,24,42,46,48,79,82,40,64,85
"2011","Stranraer South - 03","S01007492",330,20,30,23,31,46,51,33,39,57
"2011","Stranraer South - 04","S01007493",396,31,22,31,28,60,53,55,55,61
"2011","Rhins North - 01","S01007494",240,14,23,24,27,68,29,12,17,26
"2011","Rhins North - 02","S01007495",433,26,44,31,39,126,49,32,29,57
"2011","Rhins North - 03","S01007496",448,52,66,37,38,102,33,29,30,61
"2011","Rhins North - 04","S01007497",259,18,16,14,20,61,31,16,36,47
"2011","Rhins North - 05","S01007498",362,30,29,27,36,70,48,32,37,53
"2011","Rhins South - 01","S01007499",410,33,34,31,27,95,49,16,53,72
"2011","Rhins South - 02","S01007500",238,16,28,10,22,61,30,12,19,40
"2011","Rhins South - 03","S01007501",265,28,36,12,16,84,25,11,20,33
"2011","Machars North - 01","S01007502",248,26,26,23,20,56,25,15,23,34
"2011","Machars North - 02","S01007503",439,43,54,24,38,114,41,22,51,52
"2011","Machars North - 03","S01007504",326,33,38,23,21,84,34,20,31,42
"2011","Machars North - 04","S01007505",208,30,25,21,24,44,22,5,13,24
"2011","Machars South - 01","S01007506",225,24,34,21,17,63,14,10,11,31
"2011","Machars South - 02","S01007507",399,36,40,23,30,79,50,40,36,65
"2011","Machars South - 03","S01007508",332,24,34,11,30,92,40,12,30,59
"2011","Machars South - 04","S01007509",289,23,45,20,20,67,37,12,15,50
"2011","Machars South - 05","S01007510",389,36,38,22,32,106,55,15,28,57
"2011","Machars South - 06","S01007511",303,28,20,21,13,56,44,18,34,69
"2011","Machars South - 07","S01007512",229,21,24,24,18,59,24,9,9,41
"2011","Newton Stewart - 01","S01007513",449,26,41,32,35,84,77,28,52,74
"2011","Newton Stewart - 02","S01007514",256,28,26,13,22,63,32,15,25,32
"2011","Newton Stewart - 03","S01007515",237,28,45,31,22,33,33,9,11,25
"2011","Newton Stewart - 04","S01007516",270,16,17,14,22,58,44,20,39,40
"2011","Newton Stewart - 05","S01007517",174,12,23,17,15,32,26,15,8,26
"2011","Newton Stewart - 06","S01007518",362,15,23,29,35,74,62,20,47,57
"2011","Newton Stewart - 07","S01007519",196,33,27,20,15,46,21,9,8,17
"2011","Newton Stewart - 08","S01007520",399,48,42,19,30,96,43,29,30,62
"2011","Gatehouse - 01","S01007521",220,27,22,12,18,48,24,10,16,43
"2011","Gatehouse - 02","S01007522",402,42,51,37,31,69,46,31,28,67
"2011","Gatehouse - 03","S01007523",254,21,37,24,23,57,23,15,16,38
"2011","Gatehouse - 04","S01007524",470,55,54,27,43,118,36,27,32,78
"2011","Gatehouse - 05","S01007525",234,18,20,16,18,55,35,15,29,28
"2011","Kirkcudbright - 01","S01007526",285,37,24,27,17,55,32,22,28,43
"2011","Kirkcudbright - 02","S01007527",365,26,43,38,32,89,35,35,25,42
"2011","Kirkcudbright - 03","S01007528",363,22,37,27,26,93,45,32,26,55
"2011","Kirkcudbright - 04","S01007529",274,34,45,35,31,44,27,17,20,21
"2011","Kirkcudbright - 05","S01007530",262,19,38,27,26,61,20,17,19,35
"2011","Kirkcudbright - 06","S01007531",327,26,44,36,24,83,34,19,12,49
"2011","Kirkcudbright - 07","S01007532",284,23,29,15,31,81,25,23,19,38
"2011","Kirkcudbright - 08","S01007533",275,27,25,26,22,79,28,22,20,26
"2011","Castle Douglas - 01","S01007534",412,33,50,28,27,76,47,42,49,60
"2011","Castle Douglas - 02","S01007535",449,34,59,16,59,69,59,52,54,47
"2011","Castle Douglas - 03","S01007536",450,27,50,29,50,89,55,47,61,42
"2011","Castle Douglas - 04","S01007537",440,38,62,35,49,67,50,27,48,64
"2011","Castle Douglas - 05","S01007538",448,41,68,36,38,99,49,22,35,60
