"date","geography","geography code","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"2011","N00001295 (Ladybrook ward)","N00001295",312,1,6,2,1,0,5,2,3,2,2,3,2,2,1,5,3,7,5,3,4,6,6,5,5,4,7,10,4,3,5,3,4,8,5,1,3,2,0,6,2,2,5,0,6,3,4,5,4,4,5,4,4,2,6,5,3,8,6,3,3,6,2,7,5,7,8,7,5,8,6,4,2,4,1,1,0,0,0,0,1,0,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"2011","N00001296 (Ladybrook ward)","N00001296",273,1,1,7,1,3,1,3,1,3,5,6,3,1,9,3,3,4,5,2,3,7,3,8,4,2,2,0,4,8,4,5,5,4,3,3,3,2,5,1,3,3,1,2,3,5,8,5,2,7,3,3,3,2,3,3,1,2,3,1,1,5,3,2,3,4,3,4,4,6,4,5,5,4,4,1,2,2,3,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2011","N00001297 (Ladybrook ward)","N00001297",384,2,1,4,2,1,2,6,4,8,2,4,5,4,10,12,4,12,7,5,7,4,7,8,3,10,9,2,6,5,3,4,5,4,3,2,4,4,4,6,5,3,3,4,5,9,9,3,7,7,5,6,6,6,1,7,5,2,9,6,5,6,7,3,3,3,3,4,5,1,3,3,6,3,3,5,4,0,2,1,2,1,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001298 (Ladybrook ward)","N00001298",394,6,4,10,13,12,8,5,7,4,6,5,11,8,10,2,4,2,7,5,8,5,4,2,5,11,14,6,8,7,2,10,6,6,11,11,5,5,3,5,6,12,5,4,5,1,2,7,4,3,3,2,2,2,3,4,6,3,4,6,2,2,5,7,2,2,1,2,5,3,1,2,1,1,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001299 (Ladybrook ward)","N00001299",319,3,6,5,5,2,4,2,4,3,5,1,2,6,5,2,2,6,5,4,1,8,4,4,5,12,3,5,6,3,6,5,5,5,3,3,3,5,2,3,2,1,1,5,4,3,4,2,3,3,7,7,5,6,4,8,1,6,3,4,5,2,4,3,1,5,1,2,0,1,3,0,4,7,5,3,3,3,4,1,1,4,2,3,1,2,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"2011","N00001300 (Ladybrook ward)","N00001300",287,1,1,0,2,2,0,1,3,1,2,5,2,4,4,5,4,6,5,7,2,5,3,6,3,5,2,0,1,2,6,2,4,2,1,4,1,1,2,1,0,4,4,5,3,6,6,6,3,6,6,3,4,4,4,3,7,4,3,3,1,4,4,4,7,3,4,7,5,10,4,4,5,8,3,4,6,2,4,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001301 (Ladybrook ward)","N00001301",375,4,3,3,1,2,2,1,3,5,0,4,4,2,5,6,4,9,7,7,5,6,4,9,13,8,9,5,4,5,6,4,5,2,0,2,5,2,5,4,4,5,2,4,3,3,9,1,6,8,5,4,6,8,5,5,6,5,4,5,5,3,7,5,3,5,4,2,4,8,9,9,5,5,4,6,3,1,2,3,0,1,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001302 (Ladybrook ward)","N00001302",745,11,4,10,18,18,13,16,16,18,13,22,18,21,25,22,19,29,21,10,21,7,12,12,10,13,7,10,10,12,10,8,12,11,10,9,11,10,9,8,7,13,12,11,7,14,14,9,6,7,9,6,5,11,5,0,4,3,3,3,3,8,3,6,6,3,1,6,6,3,0,3,3,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2011","N00001303 (Ladybrook ward)","N00001303",333,3,0,5,4,10,3,3,5,3,2,4,4,2,4,4,5,8,2,6,8,4,4,5,3,1,6,3,3,6,5,5,4,3,2,4,3,1,3,8,2,4,2,7,3,5,3,6,14,3,5,10,2,5,6,7,7,2,3,0,6,3,2,4,7,4,2,4,1,4,2,4,4,8,6,0,2,0,3,3,1,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001304 (Ladybrook ward)","N00001304",322,2,2,2,4,3,2,5,1,7,4,5,4,1,5,4,5,3,8,5,6,3,1,4,7,3,7,4,4,1,4,2,1,2,4,0,5,8,6,2,3,0,3,4,4,3,3,5,4,1,8,0,2,7,1,5,4,2,5,3,2,3,6,3,8,1,4,2,1,5,8,4,7,7,2,5,9,5,7,2,2,2,3,2,0,3,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"2011","N00001305 (Ladybrook ward)","N00001305",325,1,2,0,3,7,4,3,5,2,5,8,6,3,5,2,2,2,7,5,7,5,7,4,5,8,2,4,4,1,6,2,0,1,2,2,1,2,2,2,5,3,5,2,6,4,4,4,7,5,6,8,9,2,2,1,5,5,3,4,2,8,3,2,6,4,1,4,3,6,1,4,4,5,4,2,6,5,5,2,2,4,1,5,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2011","N00001306 (Ladybrook ward)","N00001306",214,3,4,2,3,5,4,1,3,0,5,0,2,3,3,1,3,3,2,2,1,3,3,0,2,2,3,4,4,5,6,5,9,3,1,0,5,4,3,3,4,5,2,2,2,2,1,3,3,6,5,7,1,2,4,1,3,6,1,4,1,4,4,3,0,0,0,0,1,1,1,1,1,3,3,0,1,1,0,0,0,1,2,0,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"2011","N00001307 (Ladybrook ward)","N00001307",321,6,9,5,7,1,7,3,3,3,0,3,5,3,7,6,8,8,5,6,4,3,7,5,4,9,8,6,4,2,1,8,8,4,7,3,8,3,6,4,9,4,2,5,2,5,3,2,5,4,5,4,7,4,7,6,7,2,10,3,2,6,4,1,2,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001308 (Legoniel ward)","N00001308",486,8,4,5,11,7,6,2,11,6,5,3,6,3,12,6,6,7,6,6,6,2,3,2,2,7,5,6,10,7,5,3,10,8,4,16,4,2,5,8,6,9,8,5,6,3,9,5,8,9,8,6,6,6,3,3,3,8,4,7,5,3,9,4,6,8,2,10,5,2,4,7,4,5,7,5,4,3,10,1,2,5,0,1,2,5,2,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0
"2011","N00001309 (Legoniel ward)","N00001309",368,11,10,5,6,2,9,5,6,4,5,4,7,4,3,10,7,4,5,4,7,1,7,5,2,6,7,10,5,3,10,7,11,10,3,5,6,5,7,2,7,8,1,1,4,5,5,2,10,4,6,3,7,4,2,8,1,2,2,1,4,4,5,2,2,1,3,2,4,5,6,0,0,2,1,0,2,3,1,2,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"2011","N00001310 (Legoniel ward)","N00001310",981,27,22,21,25,15,19,17,24,15,13,16,17,18,13,21,15,19,15,24,15,13,13,12,12,16,12,19,16,22,13,20,25,22,10,16,15,19,15,11,14,17,6,10,11,18,7,9,12,14,12,11,11,14,10,8,6,8,7,8,8,5,7,7,8,4,6,2,4,2,4,6,3,6,3,3,6,2,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001311 (Legoniel ward)","N00001311",326,9,11,11,7,9,7,11,8,7,11,8,2,9,7,3,5,7,9,6,6,3,6,2,5,4,3,5,2,7,10,7,7,5,2,4,5,3,5,1,4,5,4,5,4,0,3,2,4,1,0,3,2,3,7,3,1,2,5,3,2,2,1,1,2,4,2,1,2,1,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001312 (Legoniel ward)","N00001312",654,17,12,16,19,10,14,21,12,17,3,9,16,8,14,9,16,9,13,11,13,5,9,9,5,12,15,14,20,11,11,16,15,11,11,9,13,4,9,11,1,12,5,11,13,3,6,8,4,8,7,8,5,9,4,3,5,6,3,6,2,5,4,4,3,3,2,1,2,1,3,2,2,1,2,3,0,0,2,2,1,0,3,2,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001313 (Legoniel ward)","N00001313",417,9,10,7,11,9,4,7,6,3,1,6,5,2,4,3,2,3,2,2,4,1,1,0,1,8,8,10,14,20,12,12,18,6,8,11,7,8,14,7,12,6,6,7,5,4,7,3,1,7,7,7,3,4,3,0,3,3,5,2,0,3,3,0,3,7,1,1,3,1,3,1,1,3,2,5,2,3,2,0,3,1,1,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0
"2011","N00001314 (Legoniel ward)","N00001314",401,6,3,7,9,9,10,9,5,5,11,5,7,6,6,10,6,2,9,8,5,6,8,6,5,6,5,3,5,3,8,5,6,6,6,8,8,7,11,6,8,6,6,2,6,5,6,7,4,12,3,2,3,5,9,4,3,5,4,5,2,4,0,4,4,2,2,1,3,3,0,0,2,1,1,2,0,1,3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00001315 (Legoniel ward)","N00001315",246,2,1,1,5,4,3,1,3,4,5,1,1,2,2,0,3,3,2,1,4,3,1,3,5,4,3,0,3,1,4,3,4,2,3,3,7,1,1,4,2,4,0,4,6,3,3,2,2,9,3,6,4,5,3,4,4,5,2,1,0,0,2,3,2,3,5,5,3,6,5,2,3,4,3,6,2,2,3,3,3,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
